,Name1,GHR-webpage1,frequency1,Description1,,Inheritance-pattern1,,Related-gene-list1,,,Synonym-list1,Db-key-list1,key1,reviewed1,published,,,,
,,,,,,,,,,,,OMIM,609054,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,OMIM,609644,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,OMIM,610832,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,OMIM,613390,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,OMIM,613951,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,OMIM,614082,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,OMIM,614083,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,Orphanet,84,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,related-gene-list,,,,"SNOMED CT",30575002,,,,,,
,"Farber lipogranulomatosis",https://ghr.nlm.nih.gov/condition/farber-lipogranulomatosis,"Farber lipogranulomatosis is a rare disorder. About 80 cases have been",html:p,"Farber lipogranulomatosis is a rare inherited condition involving the breakdown",ar,"autosomal recessive",,ASAH1,https://ghr.nlm.nih.gov/gene/ASAH1,"AC deficiency",db,key,2013-12,2017-12-29,,,,
,法伯氏脂肪肉芽腫病,,"reported worldwide.",,"and use of fats in the body (lipid metabolism). In affected individuals, lipids",,,,,,"acid ceramidase deficiency",GTR,C0268255,,,,,,
,,,,,"accumulate abnormally in cells and tissues throughout the body, particularly",,,,,,"acylsphingosine deacylase deficiency",db,key,,,,,,
,,,,,"around the joints.",,,,,,"ceramidase deficiency",ICD-10-CM,E75.29,,,,,,
,,,,html:p,"Three classic signs occur in Farber lipogranulomatosis: a hoarse voice or a weak",,,,,,"Farber disease",db,key,,,,,,
,,,,,"cry, small lumps of fat under the skin and in other tissues (lipogranulomas),",,,,,,"Farber-Uzman syndrome",MeSH,D055577,,,,,,
,,,,,"and swollen and painful joints. Affected individuals may also have difficulty",,,,,,"Farber's disease",db,key,,,,,,
,,,,,"breathing, an enlarged liver and spleen (hepatosplenomegaly), and developmental",,,,,,"Farber's lipogranulomatosis",OMIM,228000,,,,,,
,,,,,delay.,,,,,,,db,key,,,,,,
,,,,html:p,"Researchers have described seven types of Farber lipogranulomatosis based on",,,,,,,Orphanet,333,,,,,,
,,,,,"their characteristic features.",,,,,,,db,key,,,,,,
,,,,html:p,"Type 1 is the most common, or classical, form of this condition and is",,,,,,,"SNOMED CT",79935000,,,,,,
,,,,,"associated with the classic signs of voice, skin, and joint problems that begin",,,,,,,,,,,,,,
,,,,,"a few months after birth. Developmental delay and lung disease also commonly",,,,,,,,,,,,,,
,,,,,"occur. Infants born with type 1 Farber lipogranulomatosis usually survive only",,,,,,,,,,,,,,
,,,,,"into early childhood.",,,,,,,,,,,,,,
,,,,html:p,"Types 2 and 3 generally have less severe signs and symptoms than the other",,,,,,,,,,,,,,
,,,,,"types. Affected individuals have the three classic signs and usually do not have",,,,,,,,,,,,,,
,,,,,"developmental delay. Children with these types of Farber lipogranulomatosis",,,,,,,,,,,,,,
,,,,,"typically live into mid- to late childhood.",,,,,,,,,,,,,,
,,,,html:p,"Types 4 and 5 are associated with severe neurological problems. Type 4 usually",,,,,,,,,,,,,,
,,,,,"causes life-threatening health problems beginning in infancy due to massive",,,,,,,,,,,,,,
,,,,,"lipid deposits in the liver, spleen, lungs, and immune system tissues. Children",,,,,,,,,,,,,,
,,,,,"with this type typically do not survive past their first year of life. Type 5 is",,,,,,,,,,,,,,
,,,,,"characterized by progressive decline in brain and spinal cord (central nervous",,,,,,,,,,,,,,
,,,,,"system) function, which causes paralysis of the arms and legs (quadriplegia),",,,,,,,,,,,,,,
,,,,,"seizures, loss of speech, involuntary muscle jerks (myoclonus), and",,,,,,,,,,,,,,
,,,,,"developmental delay. Children with type 5 Farber lipogranulomatosis survive into",,,,,,,,,,,,,,
,,,,,"early childhood.",,,,,,,,,,,,,,
,,,,html:p,"Types 6 and 7 are very rare, and affected individuals have other associated",,,,,,,,,,,,,,
,,,,,"disorders in addition to Farber lipogranulomatosis.",,,,,,,,,,,,,,
,,,,,,,,related-gene-list,,,,,,,,,,,
,"Fatty acid hydroxylase-associated neurodegeneration",https://ghr.nlm.nih.gov/condition/fatty-acid-hydroxylase-associated-neurodegener,"FAHN is a rare disorder; only a few dozen cases have been reported.",html:p,"Fatty acid hydroxylase-associated neurodegeneration (FAHN) is a progressive",ar,"autosomal recessive",,FA2H,https://ghr.nlm.nih.gov/gene/FA2H,"dysmyelinating leukodystrophy and spastic paraparesis",db,key,2015-08,2017-12-29,,,,
,家族性脂肪酸羟化酶關聯神经退行,ation,,,"disorder of the nervous system (neurodegeneration) characterized by problems",,,,,,FAHN,GTR,C3668943,,,,,,
,,,,,"with movement and vision that begin during childhood or adolescence.",,,,,,"spastic paraplegia 35",db,key,,,,,,
,,,,html:p,"Changes in the way a person walks (gait) and frequent falls are usually the",,,,,,,GeneReviews,fahn,,,,,,
,,,,,"first noticeable signs of FAHN. Affected individuals gradually develop extreme",,,,,,,db,key,,,,,,
,,,,,"muscle stiffness (spasticity) and exaggerated reflexes. They typically have",,,,,,,MeSH,D020271,,,,,,
,,,,,"involuntary muscle cramping (dystonia), problems with coordination and balance",,,,,,,db,key,,,,,,
,,,,,"(ataxia), or both. The movement problems worsen over time, and some people with",,,,,,,OMIM,612319,,,,,,
,,,,,"this condition eventually require wheelchair assistance.",,,,,,,db,key,,,,,,
,,,,html:p,"People with FAHN often develop vision problems, which occur due to deterioration",,,,,,,Orphanet,385,,,,,,
,,,,,"(atrophy) of the nerves that carry information from the eyes to the brain (the",,,,,,,db,key,,,,,,
,,,,,"optic nerves) and difficulties with the muscles that control eye movement.",,,,,,,"SNOMED CT",702419001,,,,,,
,,,,,"Affected individuals may have a loss of sharp vision (reduced visual acuity),",,,,,,,,,,,,,,
,,,,,"decreased field of vision, impaired color perception, eyes that do not look in",,,,,,,,,,,,,,
,,,,,"the same direction (strabismus), rapid involuntary eye movements (nystagmus), or",,,,,,,,,,,,,,
,,,,,"difficulty moving the eyes intentionally (supranuclear gaze palsy).",,,,,,,,,,,,,,
,,,,html:p,"Speech impairment (dysarthria) also occurs in FAHN, and severely affected",,,,,,,,,,,,,,
,,,,,"individuals may lose the ability to speak. People with this disorder may also",,,,,,,,,,,,,,
,,,,,"have difficulty chewing or swallowing (dysphagia). In severe cases, they may",,,,,,,,,,,,,,
,,,,,"develop malnutrition and require a feeding tube. The swallowing difficulties",,,,,,,,,,,,,,
,,,,,"can lead to a bacterial lung infection called aspiration pneumonia, which can be",,,,,,,,,,,,,,
,,,,,"life-threatening. As the disorder progresses, some affected individuals",,,,,,,,,,,,,,
,,,,,"experience seizures and a decline in intellectual function.",,,,,,,,,,,,,,
,,,,html:p,"Magnetic resonance imaging (MRI) of the brain in people with FAHN shows signs of",,,,,,,,,,,,,,
,,,,,"iron accumulation, especially in an area of the brain called the globus",,,,,,,,,,,,,,
,,,,,"pallidus, which is involved in regulating movement. Similar patterns of iron",,,,,,,,,,,,,,
,,,,,"accumulation are seen in certain other neurological disorders such as infantile",,,,,,,,,,,,,,
,,,,,"neuroaxonal dystrophy and pantothenate kinase-associated neurodegeneration. All",,,,,,,,,,,,,,
,,,,,"these conditions belong to a class of disorders called neurodegeneration with",,,,,,,,,,,,,,
,,,,,"brain iron accumulation (NBIA).",,,,,,,,,,,,,,
,,,,,,,inheritance-pattern-list,,,related-gene-list,,,,,,,,,
,"FBXL4-related encephalomyopathic mitochondrial DNA depletion syndrome",https://ghr.nlm.nih.gov/condition/fbxl4-related-encephalomyopathic-mitochondrial,"FBXL4-related encephalomyopathic mtDNA depletion syndrome is a rare",html:p,"FBXL4-related encephalomyopathic mitochondrial DNA (mtDNA) depletion syndrome is a severe condition that begins",,,ar,"autosomal recessive",,ghr-page,"FBXL4 deficiency",db-key,db,key,2017-05,2017-12-29,,
,,-dna-depletion-syndrome,"condition; the exact prevalence is unknown. At least 50 affected individuals",,"in infancy and affects multiple body systems. It is primarily associated with brain dysfunction ",,,,,,https://ghr.nlm.nih.gov/gene/FBXL4,"FBXL4-related early onset mitochondrial encephalopathy",,GTR,C3809592,,,,
,,,"have been described in the medical literature.",,"combined with muscle weakness (encephalomyopathy).",,,,,,,"mitochondrial DNA depletion syndrome 13, encephalomyopathic type",db-key,db,key,,,,
,,,,,,,,,,,,MTDPS13,,GeneReviews,fbxl4-mtddepl,,,,
,,,,html:p,"Infants with FBXL4-related encephalomyopathic mtDNA depletion syndrome have weak muscle tone ",,,,,,,,db-key,db,key,,,,
,,,,,"(hypotonia) and a failure to grow or gain weight at the expected rate (failure to thrive). Children with ",,,,,,,,,MeSH,D017237,,,,
,,,,,"FBXL4-related encephalomyopathic mtDNA depletion syndrome have delayed development of mental ",,,,,,,,db-key,db,key,,,,
,,,,,"and motor skills and severely impaired speech development. Many affected individuals have seizures, ",,,,,,,,,OMIM,615471,,,,
,,,,,"movement abnormalities, and an unusually small head size (microcephaly) with a loss of nerve cells ",,,,,,,,,,,,,,
,,,,,"in the brain (cerebral atrophy).",,,,,,,,,,,,,,
,,,,html:p,"All individuals with FBXL4-related encephalomyopathic mtDNA depletion syndrome have a buildup of ",,,,,,,,,,,,,,
,,,,,"a chemical called lactic acid in the body (lactic acidosis), and about half of individuals have an accumulation ",,,,,,,,,,,,,,
,,,,,"of ammonia in the blood. Buildup of these substances can be life-threatening. Many affected individuals also",,,,,,,,,,,,,,
,,,,,"have heart abnormalities, such as congenital heart defects or heart rhythm abnormalities (arrhythmias). In ",,,,,,,,,,,,,,
,,,,,"addition, individuals with this condition can have vision problems, hearing loss, liver abnormalities (hepatopathy), ",,,,,,,,,,,,,,
,,,,,"and immune deficiency due to a decrease in white blood cells. Many children with FBXL4-related ",,,,,,,,,,,,,,
,,,,,"encephalomyopathic mtDNA depletion syndrome have distinctive facial features that can include thick eyebrows; ",,,,,,,,,,,,,,
,,,,,"outside corners of the eyes that point upward (upslanting palpebral fissures); a broad nasal bridge and tip; and ",,,,,,,,,,,,,,
,,,,,"a long, smooth space between the upper lip and nose (philtrum).",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,html:p,"Because the encephalomyopathy and other signs and symptoms are so severe, people with FBXL4-related encephalomyopathic",,,,,,,,,,,,,,
,,,,,"mtDNA depletion syndrome usually live only into early childhood.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,related-gene-list,,,,,,,,,,,
,"Feingold syndrome",https://ghr.nlm.nih.gov/condition/feingold-syndrome,"Feingold syndrome appears to be a rare condition, although its exact",html:p,"Feingold syndrome is a disorder that affects many parts of the body. The signs",ad,"autosomal dominant",,MYCN,https://ghr.nlm.nih.gov/gene/MYCN,"microcephaly-mesobrachyphalangy-tracheoesophageal fistula (MMT) syndrome",db,key,2009-09,2017-12-29,,,,
,Feingold氏症候群第一型,,"prevalence is unknown.",,"and symptoms of this condition vary among affected individuals, even among",,,,,,"microcephaly-oculo-digito-esophageal-duodenal (MODED) syndrome",GTR,C0796068,,,,,,
,,,,,"members of the same family.",,,,,,"oculo-digito-esophagoduodental (ODED) syndrome",db,key,,,,,,
,,,,html:p,"Individuals with Feingold syndrome have characteristic abnormalities of their",,,,,,,GTR,C3280489,,,,,,
,,,,,"fingers and toes. Almost all people with this condition have a specific hand",,,,,,,db,key,,,,,,
,,,,,"abnormality called brachymesophalangy, which refers to shortening of the second",,,,,,,GTR,CN199181,,,,,,
,,,,,"and fifth fingers. Other common abnormalities include fifth fingers that curve",,,,,,,db,key,,,,,,
,,,,,"inward (clinodactyly), underdeveloped thumbs (thumb hypoplasia), and fusion",,,,,,,GeneReviews,feingold,,,,,,
,,,,,"(syndactyly) of the second and third toes or the fourth and fifth toes.",,,,,,,db,key,,,,,,
,,,,html:p,"People with Feingold syndrome are frequently born with a blockage in part of",,,,,,,MeSH,D030342,,,,,,
,,,,,"their digestive system called gastrointestinal atresia. In most cases, the",,,,,,,db,key,,,,,,
,,,,,"blockage occurs in the esophagus (esophageal atresia) or in part of the small",,,,,,,OMIM,164280,,,,,,
,,,,,"intestine (duodenal atresia). Additional common features of Feingold syndrome",,,,,,,db,key,,,,,,
,,,,,"include an unusually small head size (microcephaly), a small jaw (micrognathia),",,,,,,,OMIM,614326,,,,,,
,,,,,"a narrow opening of the eyelids (short palpebral fissures), and mild to",,,,,,,db,key,,,,,,
,,,,,"moderate learning disability. Less often, affected individuals have hearing",,,,,,,Orphanet,1305,,,,,,
,,,,,"loss, impaired growth, and kidney and heart abnormalities.",,,,,,,db,key,,,,,,
,,,,,,,,related-gene-list,,,,"SNOMED CT",702431004,,,,,,
,"FG syndrome",https://ghr.nlm.nih.gov/condition/fg-syndrome,"The prevalence of FG syndrome is unknown, although several hundred cases",html:p,"FG syndrome is a genetic condition that affects many parts of the body and",xr,"X-linked recessive",,CASK,https://ghr.nlm.nih.gov/gene/CASK,FGS,db,key,2012-12,2017-12-29,,,,
,FG綜合徵,,"have been reported worldwide. Researchers suspect that FG syndrome may be",,"occurs almost exclusively in males. ""FG"" represents the surname initials of the",,,related-gene,gene-symbol,ghr-page,FGS1,GTR,C0220769,,,,,,
,,,"overdiagnosed because many of its signs and symptoms are also seen with other",,"first family diagnosed with the disorder.",,,,FLNA,https://ghr.nlm.nih.gov/gene/FLNA,"Keller syndrome",db,key,,,,,,
,,,disorders.,html:p,"FG syndrome affects intelligence and behavior. Almost everyone with the",,,related-gene,gene-symbol,ghr-page,"mental retardation, large head, imperforate anus, congenital hypotonia, and",GTR,C1845119,,,,,,
,,,,,"condition has intellectual disability, which ranges from mild to severe.",,,,MED12,https://ghr.nlm.nih.gov/gene/MED12,"partial agenesis of the corpus callosum",db,key,,,,,,
,,,,,"Affected individuals tend to be friendly, inquisitive, and hyperactive, with a",,,related-gene,gene-symbol,ghr-page,OKS,GTR,C1845546,,,,,,
,,,,,"short attention span. Compared to people with other forms of intellectual",,,,UPF3B,https://ghr.nlm.nih.gov/gene/UPF3B,"Opitz-Kaveggia syndrome",db,key,,,,,,
,,,,,"disability, their socialization and daily living skills are strong, while verbal",,,,,,,GTR,C1845567,,,,,,
,,,,,"communication and language skills tend to be weaker.",,,,,,,db,key,,,,,,
,,,,html:p,"The physical features of FG syndrome include weak muscle tone (hypotonia), broad",,,,,,,GTR,C1845902,,,,,,
,,,,,"thumbs, and wide first (big) toes. Abnormalities of the tissue connecting the",,,,,,,db,key,,,,,,
,,,,,"left and right halves of the brain (the corpus callosum) are also common. Most",,,,,,,GeneReviews,fg,,,,,,
,,,,,"affected individuals have constipation, and many have abnormalities of the anus",,,,,,,db,key,,,,,,
,,,,,"such as an obstruction of the anal opening (imperforate anus). People with FG",,,,,,,MeSH,D000015,,,,,,
,,,,,"syndrome also tend to have a distinctive facial appearance including small,",,,,,,,db,key,,,,,,
,,,,,"underdeveloped ears; a tall, prominent forehead; and outside corners of the eyes",,,,,,,MeSH,D038901,,,,,,
,,,,,"that point downward (down-slanting palpebral fissures).",,,,,,,db,key,,,,,,
,,,,html:p,"Additional features seen in some people with FG syndrome include widely set eyes",,,,,,,OMIM,300321,,,,,,
,,,,,"(hypertelorism), an upswept frontal hairline, and a large head compared to body",,,,,,,db,key,,,,,,
,,,,,"size (relative macrocephaly). Other health problems have also been reported,",,,,,,,OMIM,300406,,,,,,
,,,,,"including heart defects, seizures, undescended testes (cryptorchidism) in males,",,,,,,,db,key,,,,,,
,,,,,"and a soft out-pouching in the lower abdomen (an inguinal hernia).",,,,,,,OMIM,300422,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,OMIM,300581,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,OMIM,305450,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,Orphanet,323,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,related-gene-list,,,,"SNOMED CT",49984004,,,,,,
,Fibrochondrogenesis,https://ghr.nlm.nih.gov/condition/fibrochondrogenesis,"Fibrochondrogenesis appears to be a rare disorder. About 20 affected",html:p,"Fibrochondrogenesis is a very severe disorder of bone growth. Affected infants",ad,"autosomal dominant",,COL11A1,https://ghr.nlm.nih.gov/gene/COL11A1,FBCG1,db,key,2016-04,2017-12-29,,,,
,纤维软骨增生,,"individuals have been described in the medical literature.",,"have a very narrow chest, which prevents the lungs from developing normally.",code,memo,related-gene,gene-symbol,ghr-page,FBCG2,GTR,C0265282,,,,,,
,,,,,"Most infants with this condition are stillborn or die shortly after birth from",ar,"autosomal recessive",,COL11A2,https://ghr.nlm.nih.gov/gene/COL11A2,fibrochondrogenesis-1,db,key,,,,,,
,,,,,"respiratory failure. However, some affected individuals have lived into",,,,,,fibrochondrogenesis-2,GTR,C3281128,,,,,,
,,,,,childhood.,,,,,,,db,key,,,,,,
,,,,html:p,"Fibrochondrogenesis is characterized by short stature (dwarfism) and other",,,,,,,MeSH,D000015,,,,,,
,,,,,"skeletal abnormalities. Affected individuals have shortened long bones in the",,,,,,,db,key,,,,,,
